Nama Cabang,Provinsi,id,name,state_code,latitude,longitude,type
OIXFIM,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
PJDGNU,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
BOKAFX,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
HOGPNE,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
JSJPVC,Jawa Tengah,1802,Jawa Tengah,JT,-7.150975,110.1402594,province
ZLSSTS,DI Yogyakarta,1829,DI Yogyakarta,YO,-7.8753849,110.4262088,province
HIZAKD,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
EIRSDX,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
PASSLA,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
IXSWCA,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
VYJUMN,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
JOGCOL,Jawa Tengah,1802,Jawa Tengah,JT,-7.150975,110.1402594,province
LGIXGP,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
TDULAD,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
NYWDTC,Jawa Tengah,1802,Jawa Tengah,JT,-7.150975,110.1402594,province
EFVNJZ,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
EJBHRR,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
FQLQFV,DI Yogyakarta,1829,DI Yogyakarta,YO,-7.8753849,110.4262088,province
LVZNFM,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
KAZNMJ,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
MPHOQB,Jawa Tengah,1802,Jawa Tengah,JT,-7.150975,110.1402594,province
YMHCUK,DI Yogyakarta,1829,DI Yogyakarta,YO,-7.8753849,110.4262088,province
GYVXHV,Jawa Tengah,1802,Jawa Tengah,JT,-7.150975,110.1402594,province
EEMATH,DI Yogyakarta,1829,DI Yogyakarta,YO,-7.8753849,110.4262088,province
QVGMEI,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
BKXGGU,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
JKEDGJ,Jawa Tengah,1802,Jawa Tengah,JT,-7.150975,110.1402594,province
MEMPNM,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
ERXDDE,Jawa Barat,1825,Jawa Barat,JB,-7.090911,107.668887,province
WCVMJW,Jawa Barat,1825,Jawa Barat,JB,-7.090911,107.668887,province
BFNTLT,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
TMKDQO,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
BLEZQW,Jawa Tengah,1802,Jawa Tengah,JT,-7.150975,110.1402594,province
KVFGBA,Jawa Tengah,1802,Jawa Tengah,JT,-7.150975,110.1402594,province
ZDNAFI,Jawa Tengah,1802,Jawa Tengah,JT,-7.150975,110.1402594,province
HLCMCQ,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
OMFVGU,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
YACJBN,Jawa Tengah,1802,Jawa Tengah,JT,-7.150975,110.1402594,province
ZSXZEJ,Jawa Tengah,1802,Jawa Tengah,JT,-7.150975,110.1402594,province
OMTJBI,Jawa Tengah,1802,Jawa Tengah,JT,-7.150975,110.1402594,province
GPZKZZ,Jawa Barat,1825,Jawa Barat,JB,-7.090911,107.668887,province
GYGDBN,Jawa Barat,1825,Jawa Barat,JB,-7.090911,107.668887,province
HZERZV,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
LLAUUM,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
MWVSUV,Jawa Tengah,1802,Jawa Tengah,JT,-7.150975,110.1402594,province
TMLQGV,Jawa Barat,1825,Jawa Barat,JB,-7.090911,107.668887,province
TBKKZV,Jawa Tengah,1802,Jawa Tengah,JT,-7.150975,110.1402594,province
TGYDJZ,Jawa Tengah,1802,Jawa Tengah,JT,-7.150975,110.1402594,province
UQMFBT,Jawa Barat,1825,Jawa Barat,JB,-7.090911,107.668887,province
FJTDPL,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
PIKBZU,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
DEMUFC,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
IAZNIA,Jawa Barat,1825,Jawa Barat,JB,-7.090911,107.668887,province
GLKGVU,Jawa Tengah,1802,Jawa Tengah,JT,-7.150975,110.1402594,province
TMPRVR,DI Yogyakarta,1829,DI Yogyakarta,YO,-7.8753849,110.4262088,province
JWWBVY,DKI Jakarta,1805,DKI Jakarta,JK,-6.2087634,106.845599,capital district
WUOPGM,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
SAFMRF,Jawa Barat,1825,Jawa Barat,JB,-7.090911,107.668887,province
VFNRKQ,Jawa Barat,1825,Jawa Barat,JB,-7.090911,107.668887,province
YOYSOL,Jawa Barat,1825,Jawa Barat,JB,-7.090911,107.668887,province
LJBXAG,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
UMWUZW,Jawa Barat,1825,Jawa Barat,JB,-7.090911,107.668887,province
LYYTLB,Banten,1810,Banten,BT,-6.4058172,106.0640179,province
KRBDUR,DI Yogyakarta,1829,DI Yogyakarta,YO,-7.8753849,110.4262088,province
DTGQVP,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
NIMEFS,Jawa Barat,1825,Jawa Barat,JB,-7.090911,107.668887,province
ELMOHJ,Jawa Barat,1825,Jawa Barat,JB,-7.090911,107.668887,province
SVSSDV,DI Yogyakarta,1829,DI Yogyakarta,YO,-7.8753849,110.4262088,province
NYKHXD,Jawa Barat,1825,Jawa Barat,JB,-7.090911,107.668887,province
RQXKOD,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
BUCHBK,Jawa Barat,1825,Jawa Barat,JB,-7.090911,107.668887,province
VGLUPW,Jawa Barat,1825,Jawa Barat,JB,-7.090911,107.668887,province
PRMUZR,Jawa Barat,1825,Jawa Barat,JB,-7.090911,107.668887,province
JLQEBR,Jawa Barat,1825,Jawa Barat,JB,-7.090911,107.668887,province
MADSAL,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
NQQIOU,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
YYFEWX,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
CXRBWO,Jawa Barat,1825,Jawa Barat,JB,-7.090911,107.668887,province
UGJCID,Jawa Barat,1825,Jawa Barat,JB,-7.090911,107.668887,province
PJLZUL,DKI Jakarta,1805,DKI Jakarta,JK,-6.2087634,106.845599,capital district
VWGTME,Banten,1810,Banten,BT,-6.4058172,106.0640179,province
PZIKSS,Jawa Barat,1825,Jawa Barat,JB,-7.090911,107.668887,province
CJJXET,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
YCDKIA,Jawa Barat,1825,Jawa Barat,JB,-7.090911,107.668887,province
WDLFZO,Jawa Barat,1825,Jawa Barat,JB,-7.090911,107.668887,province
NOKHBF,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
KJXGBJ,Jawa Tengah,1802,Jawa Tengah,JT,-7.150975,110.1402594,province
FZOUXP,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
SOLCOL,,,,,,,
WCRDKB,Banten,1810,Banten,BT,-6.4058172,106.0640179,province
JAKKEB,DKI Jakarta,1805,DKI Jakarta,JK,-6.2087634,106.845599,capital district
FDPZDK,Jawa Barat,1825,Jawa Barat,JB,-7.090911,107.668887,province
VBTJYI,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
JPOINS,Jawa Barat,1825,Jawa Barat,JB,-7.090911,107.668887,province
IGQPIG,Banten,1810,Banten,BT,-6.4058172,106.0640179,province
SHDYXV,Jawa Barat,1825,Jawa Barat,JB,-7.090911,107.668887,province
PESJDJ,DKI Jakarta,1805,DKI Jakarta,JK,-6.2087634,106.845599,capital district
SURTUN,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
YLESDH,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
SPDDNX,Jawa Barat,1825,Jawa Barat,JB,-7.090911,107.668887,province
PBQKON,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
VGAVBT,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
ANNNBC,Jawa Barat,1825,Jawa Barat,JB,-7.090911,107.668887,province
IYVBYM,Jawa Barat,1825,Jawa Barat,JB,-7.090911,107.668887,province
JAKKER,DKI Jakarta,1805,DKI Jakarta,JK,-6.2087634,106.845599,capital district
UROTOU,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
OKUGJF,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
JGGMML,Jawa Barat,1825,Jawa Barat,JB,-7.090911,107.668887,province
PKXAYH,Jawa Barat,1825,Jawa Barat,JB,-7.090911,107.668887,province
XAYLWD,Jawa Barat,1825,Jawa Barat,JB,-7.090911,107.668887,province
TJUSDM,Jawa Tengah,1802,Jawa Tengah,JT,-7.150975,110.1402594,province
BLVVFK,Jawa Barat,1825,Jawa Barat,JB,-7.090911,107.668887,province
PSQLIA,Jawa Tengah,1802,Jawa Tengah,JT,-7.150975,110.1402594,province
EWJTQZ,Jawa Tengah,1802,Jawa Tengah,JT,-7.150975,110.1402594,province
FVEJAD,Jawa Barat,1825,Jawa Barat,JB,-7.090911,107.668887,province
QDCVFP,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
LGZIWN,Jawa Barat,1825,Jawa Barat,JB,-7.090911,107.668887,province
ANVIKY,Jawa Tengah,1802,Jawa Tengah,JT,-7.150975,110.1402594,province
JVQORR,Jawa Tengah,1802,Jawa Tengah,JT,-7.150975,110.1402594,province
NUDPBK,Jawa Tengah,1802,Jawa Tengah,JT,-7.150975,110.1402594,province
FJFOXN,Jawa Tengah,1802,Jawa Tengah,JT,-7.150975,110.1402594,province
RAUIXW,Sulawesi Selatan,1795,Sulawesi Selatan,SN,-3.6687994,119.9740534,province
NOIHPO,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
WUNRJL,Jawa Barat,1825,Jawa Barat,JB,-7.090911,107.668887,province
XLZXXM,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
BKSPON,Jawa Barat,1825,Jawa Barat,JB,-7.090911,107.668887,province
KKLPPK,DKI Jakarta,1805,DKI Jakarta,JK,-6.2087634,106.845599,capital district
GMGSAX,Jawa Barat,1825,Jawa Barat,JB,-7.090911,107.668887,province
EEDBDB,Jawa Barat,1825,Jawa Barat,JB,-7.090911,107.668887,province
BWQMWY,Banten,1810,Banten,BT,-6.4058172,106.0640179,province
MOZUUP,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
SNGOTT,Jawa Barat,1825,Jawa Barat,JB,-7.090911,107.668887,province
PLIJTM,Jawa Barat,1825,Jawa Barat,JB,-7.090911,107.668887,province
MWMNFW,Jawa Barat,1825,Jawa Barat,JB,-7.090911,107.668887,province
WNDGXY,Jawa Barat,1825,Jawa Barat,JB,-7.090911,107.668887,province
YMHHOR,Sulawesi Selatan,1795,Sulawesi Selatan,SN,-3.6687994,119.9740534,province
GRUVVL,DKI Jakarta,1805,DKI Jakarta,JK,-6.2087634,106.845599,capital district
WRHWDY,Banten,1810,Banten,BT,-6.4058172,106.0640179,province
XGSMCB,Banten,1810,Banten,BT,-6.4058172,106.0640179,province
QLLAZN,Jawa Barat,1825,Jawa Barat,JB,-7.090911,107.668887,province
QLHLFT,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
UGUPLO,Jawa Barat,1825,Jawa Barat,JB,-7.090911,107.668887,province
LQFYFV,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
RTENQF,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
GPMLBX,DKI Jakarta,1805,DKI Jakarta,JK,-6.2087634,106.845599,capital district
OQMQEU,Banten,1810,Banten,BT,-6.4058172,106.0640179,province
HMTPBE,Jawa Barat,1825,Jawa Barat,JB,-7.090911,107.668887,province
KJNDLN,Jawa Barat,1825,Jawa Barat,JB,-7.090911,107.668887,province
HPIUDM,Sulawesi Selatan,1795,Sulawesi Selatan,SN,-3.6687994,119.9740534,province
JVYLOT,Jawa Tengah,1802,Jawa Tengah,JT,-7.150975,110.1402594,province
ARWSQV,DKI Jakarta,1805,DKI Jakarta,JK,-6.2087634,106.845599,capital district
ONWDSV,DKI Jakarta,1805,DKI Jakarta,JK,-6.2087634,106.845599,capital district
YWRHIB,Sulawesi Selatan,1795,Sulawesi Selatan,SN,-3.6687994,119.9740534,province
UMWPJD,Banten,1810,Banten,BT,-6.4058172,106.0640179,province
HSHFVZ,Jawa Barat,1825,Jawa Barat,JB,-7.090911,107.668887,province
BGKGGQ,Jawa Barat,1825,Jawa Barat,JB,-7.090911,107.668887,province
MAKSUM,Sulawesi Selatan,1795,Sulawesi Selatan,SN,-3.6687994,119.9740534,province
DEEDKY,Jawa Barat,1825,Jawa Barat,JB,-7.090911,107.668887,province
LORNOA,DKI Jakarta,1805,DKI Jakarta,JK,-6.2087634,106.845599,capital district
VKEYUJ,DKI Jakarta,1805,DKI Jakarta,JK,-6.2087634,106.845599,capital district
ENTWVR,DKI Jakarta,1805,DKI Jakarta,JK,-6.2087634,106.845599,capital district
NZLVNV,Jawa Tengah,1802,Jawa Tengah,JT,-7.150975,110.1402594,province
GRTPRA,Jawa Barat,1825,Jawa Barat,JB,-7.090911,107.668887,province
WRWQGU,DKI Jakarta,1805,DKI Jakarta,JK,-6.2087634,106.845599,capital district
KABGUB,DKI Jakarta,1805,DKI Jakarta,JK,-6.2087634,106.845599,capital district
OJWADS,DKI Jakarta,1805,DKI Jakarta,JK,-6.2087634,106.845599,capital district
YNZKZS,Banten,1810,Banten,BT,-6.4058172,106.0640179,province
PKVAXK,Jawa Barat,1825,Jawa Barat,JB,-7.090911,107.668887,province
SLTRRE,Jawa Barat,1825,Jawa Barat,JB,-7.090911,107.668887,province
ESKCEG,Sulawesi Selatan,1795,Sulawesi Selatan,SN,-3.6687994,119.9740534,province
JAKSAT,DKI Jakarta,1805,DKI Jakarta,JK,-6.2087634,106.845599,capital district
YSBLEA,DKI Jakarta,1805,DKI Jakarta,JK,-6.2087634,106.845599,capital district
QTVKJD,Kalimantan Timur,1804,Kalimantan Timur,KI,0.5386586,116.419389,province
ASVAQS,Sulawesi Selatan,1795,Sulawesi Selatan,SN,-3.6687994,119.9740534,province
SKERFW,DKI Jakarta,1805,DKI Jakarta,JK,-6.2087634,106.845599,capital district
LOCJIC,Kalimantan Timur,1804,Kalimantan Timur,KI,0.5386586,116.419389,province
XTVRFC,Banten,1810,Banten,BT,-6.4058172,106.0640179,province
RKUYGP,Jawa Barat,1825,Jawa Barat,JB,-7.090911,107.668887,province
LSNHJV,Jawa Barat,1825,Jawa Barat,JB,-7.090911,107.668887,province
OOHVHF,Sulawesi Selatan,1795,Sulawesi Selatan,SN,-3.6687994,119.9740534,province
WKPTCI,Jawa Barat,1825,Jawa Barat,JB,-7.090911,107.668887,province
QMJJNX,DKI Jakarta,1805,DKI Jakarta,JK,-6.2087634,106.845599,capital district
YHTGVA,Jawa Barat,1825,Jawa Barat,JB,-7.090911,107.668887,province
YMCANV,DKI Jakarta,1805,DKI Jakarta,JK,-6.2087634,106.845599,capital district
CNFBJM,Jawa Barat,1825,Jawa Barat,JB,-7.090911,107.668887,province
GOTSXV,Banten,1810,Banten,BT,-6.4058172,106.0640179,province
RVFOGC,Jawa Barat,1825,Jawa Barat,JB,-7.090911,107.668887,province
HMSPVS,Jawa Barat,1825,Jawa Barat,JB,-7.090911,107.668887,province
PPTZDF,Jawa Barat,1825,Jawa Barat,JB,-7.090911,107.668887,province
ZVAEJE,Jawa Barat,1825,Jawa Barat,JB,-7.090911,107.668887,province
HNCTAZ,Jawa Tengah,1802,Jawa Tengah,JT,-7.150975,110.1402594,province
JPRGVD,Jawa Barat,1825,Jawa Barat,JB,-7.090911,107.668887,province
LIAGZS,Kalimantan Timur,1804,Kalimantan Timur,KI,0.5386586,116.419389,province
VLRFHP,Jawa Tengah,1802,Jawa Tengah,JT,-7.150975,110.1402594,province
GAINWS,Sulawesi Selatan,1795,Sulawesi Selatan,SN,-3.6687994,119.9740534,province
RIOHBM,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
CKGUTA,DKI Jakarta,1805,DKI Jakarta,JK,-6.2087634,106.845599,capital district
TNATHA,DKI Jakarta,1805,DKI Jakarta,JK,-6.2087634,106.845599,capital district
SCTJZC,DKI Jakarta,1805,DKI Jakarta,JK,-6.2087634,106.845599,capital district
FCRHSZ,,,,,,,
GOAUUK,Jawa Barat,1825,Jawa Barat,JB,-7.090911,107.668887,province
XVIMAP,Banten,1810,Banten,BT,-6.4058172,106.0640179,province
CAQVLQ,Jawa Barat,1825,Jawa Barat,JB,-7.090911,107.668887,province
IYMXAP,,,,,,,
JNZYHZ,Jawa Barat,1825,Jawa Barat,JB,-7.090911,107.668887,province
QRPTOD,Kalimantan Timur,1804,Kalimantan Timur,KI,0.5386586,116.419389,province
DGLQOV,Banten,1810,Banten,BT,-6.4058172,106.0640179,province
UPJCIK,Jawa Tengah,1802,Jawa Tengah,JT,-7.150975,110.1402594,province
LDFANO,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
RAZLXF,Jawa Tengah,1802,Jawa Tengah,JT,-7.150975,110.1402594,province
DEGYUZ,Jawa Barat,1825,Jawa Barat,JB,-7.090911,107.668887,province
WHBOAM,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
WJQCIU,DKI Jakarta,1805,DKI Jakarta,JK,-6.2087634,106.845599,capital district
IZYECE,Jawa Barat,1825,Jawa Barat,JB,-7.090911,107.668887,province
JSNDUS,Jawa Tengah,1802,Jawa Tengah,JT,-7.150975,110.1402594,province
KHJHLH,Kalimantan Selatan,1819,Kalimantan Selatan,KS,-3.0926415,115.2837585,province
ZWLJZZ,Jawa Barat,1825,Jawa Barat,JB,-7.090911,107.668887,province
UTGJQM,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
KCCBZY,Banten,1810,Banten,BT,-6.4058172,106.0640179,province
VGXQFC,Banten,1810,Banten,BT,-6.4058172,106.0640179,province
EURRTA,DKI Jakarta,1805,DKI Jakarta,JK,-6.2087634,106.845599,capital district
NSVBLL,Kalimantan Tengah,1794,Kalimantan Tengah,KT,-1.6814878,113.3823545,province
PCRRQW,Banten,1810,Banten,BT,-6.4058172,106.0640179,province
JWJTLL,Sulawesi Selatan,1795,Sulawesi Selatan,SN,-3.6687994,119.9740534,province
CPTCIR,Banten,1810,Banten,BT,-6.4058172,106.0640179,province
HYTXEY,DKI Jakarta,1805,DKI Jakarta,JK,-6.2087634,106.845599,capital district
WEYVVN,Banten,1810,Banten,BT,-6.4058172,106.0640179,province
UGLUKN,Jawa Barat,1825,Jawa Barat,JB,-7.090911,107.668887,province
OCSBWI,Sulawesi Selatan,1795,Sulawesi Selatan,SN,-3.6687994,119.9740534,province
MUGJRG,Jawa Barat,1825,Jawa Barat,JB,-7.090911,107.668887,province
HPLWKS,Jawa Tengah,1802,Jawa Tengah,JT,-7.150975,110.1402594,province
JWUJGA,Kalimantan Timur,1804,Kalimantan Timur,KI,0.5386586,116.419389,province
Depo,Jawa Tengah,1802,Jawa Tengah,JT,-7.150975,110.1402594,province
XJQBVV,DKI Jakarta,1805,DKI Jakarta,JK,-6.2087634,106.845599,capital district
PTDGOT,Jawa Barat,1825,Jawa Barat,JB,-7.090911,107.668887,province
TSVNZE,Sulawesi Selatan,1795,Sulawesi Selatan,SN,-3.6687994,119.9740534,province
DCTJPKIR,DKI Jakarta,1805,DKI Jakarta,JK,-6.2087634,106.845599,capital district
MDDRXI,Kalimantan Timur,1804,Kalimantan Timur,KI,0.5386586,116.419389,province
KQGWSE,Kalimantan Selatan,1819,Kalimantan Selatan,KS,-3.0926415,115.2837585,province
RMCK1,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
PRDCK1,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
WHCK1,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
RMSULFAT,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
PRDSULFAT,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
EQSULFAT,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
RMCK2,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
PRDCK2,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
WHCK2,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
EQSINGO,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
RMCK3,Jawa Barat,1825,Jawa Barat,JB,-7.090911,107.668887,province
PRDCK3,Jawa Barat,1825,Jawa Barat,JB,-7.090911,107.668887,province
WHCK3,Jawa Barat,1825,Jawa Barat,JB,-7.090911,107.668887,province
MBS-CK,Bali,1826,Bali,BA,-8.3405389,115.0919509,province
BALI1,Bali,1826,Bali,BA,-8.3405389,115.0919509,province
BALI2,Bali,1826,Bali,BA,-8.3405389,115.0919509,province
BALI3,Bali,1826,Bali,BA,-8.3405389,115.0919509,province
BALI4,Bali,1826,Bali,BA,-8.3405389,115.0919509,province
BALI5,Bali,1826,Bali,BA,-8.3405389,115.0919509,province
BALI6,Bali,1826,Bali,BA,-8.3405389,115.0919509,province
BALI7,Bali,1826,Bali,BA,-8.3405389,115.0919509,province
BALI8,Bali,1826,Bali,BA,-8.3405389,115.0919509,province
BALI9,Bali,1826,Bali,BA,-8.3405389,115.0919509,province
BALI10,Bali,1826,Bali,BA,-8.3405389,115.0919509,province
BALI11,Bali,1826,Bali,BA,-8.3405389,115.0919509,province
BALI12,Bali,1826,Bali,BA,-8.3405389,115.0919509,province
BACAN,Bali,1826,Bali,BA,-8.3405389,115.0919509,province
BAKED,Bali,1826,Bali,BA,-8.3405389,115.0919509,province
MEMAN,Sumatera Utara,1792,Sumatera Utara,SU,2.1153547,99.5450974,province
BANEG,Bali,1826,Bali,BA,-8.3405389,115.0919509,province
BAGIN,Bali,1826,Bali,BA,-8.3405389,115.0919509,province
MEDKAR,Sumatera Utara,1792,Sumatera Utara,SU,2.1153547,99.5450974,province
MEDMON,Sumatera Utara,1792,Sumatera Utara,SU,2.1153547,99.5450974,province
MEDMAR,Sumatera Utara,1792,Sumatera Utara,SU,2.1153547,99.5450974,province
PALDAH,Sumatera Selatan,1816,Sumatera Selatan,SS,-3.3194374,103.914399,province
PEKPAN,Riau,1809,Riau,RI,0.2933469,101.7068294,province
PPnA-CK,Jawa Tengah,1802,Jawa Tengah,JT,-7.150975,110.1402594,province
SLT,Jawa Tengah,1802,Jawa Tengah,JT,-7.150975,110.1402594,province
PKL,Jawa Tengah,1802,Jawa Tengah,JT,-7.150975,110.1402594,province
PKLIMA,Jawa Tengah,1802,Jawa Tengah,JT,-7.150975,110.1402594,province
SUKUN,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
DIENG,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
POKANG,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
DMC,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
BMI,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
PER,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
IT,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
IYUJBQ,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
UDABOK,Jawa Tengah,1802,Jawa Tengah,JT,-7.150975,110.1402594,province
MSSDND,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
