Month,Nama Barang,AVG PICK UP,AVG PEMBELIAN,AVG SALDO AKHIR,Kategori
March,TIMBANGAN DIGITAL FORTUNO 30 KG,49.0,210.0,460,
March,TIMBANGAN DIGITAL KECIL,8.0,,8,
March,TIMER DIGITAL,1617.0,3280.0,1801,
March,TOOL BOX,12.0,30.0,32,
March,TOPLES UK 18 LTR,912.0,1200.0,428,
March,TOPLES UK 4 LTR,286.0,792.0,570,
March,TOPLES UK 9 LTR,538.0,792.0,397,
March,TOWEL,3582.0,9360.0,19953,
March,TROLLI CLEAR UP,46.0,5.0,58,
March,TROLLI LOADING,15.0,15.0,13,
March,WAJAN BESI UK 50',56.0,65.0,51,
March,WAJAN BESI UK 70',40.0,65.0,70,
April,AKRILIC PRINTER,47.0,,376,
April,ALAT PEL,48.0,180.0,206,
April,ALAT PEMADAM KEBAKARAN ( APAR ),7.0,,6,
April,AMBRO FLATWARE BASKET,9.0,49.0,72,
April,APAR POWDER 3KG,14.0,,12,
April,APAR TIPE K 6KG,7.0,,6,
April,ASBAK,267.0,540.0,577,
April,BABY CHAIR,14.0,,32,
April,BAK THAWING BULAT 80 L,19.0,,12,
April,BALON WHISK,33.0,,79,
April,BASKOM KOTAK BESAR,270.0,192.0,442,
April,BASKOM STAINLESS 12 CM,46.0,50.0,208,
April,BASKOM STAINLESS 18 CM,93.0,180.0,271,
April,BASKOM STAINLESS UK 14 CM,21.0,,128,
April,BASKOM STAINLESS UK 26 CM,66.0,,48,
April,BILL HOLDER,64.0,210.0,427,
April,BOTOL DIPPING BESAR,42.0,,383,
April,BOTOL KECAP KECIL,202.0,,314,
April,BOTOL SPRAY,212.0,1283.0,1518,
April,BURNER GS UK 9 NP,,,66,MAINTENANCE
April,CADDY BAG,61.0,,42,
April,CAPIT SNACK ( BESAR ),107.0,72.0,149,
April,CASH BOX,8.0,12.0,40,
April,CETING TRADISI ( BESAR ),199.0,,279,
April,CETING TRADISI ( KECIL ),20.0,,550,
April,COOL BOX 55LTR,3.0,17.0,37,
April,DIGITAL CALIPER,7.0,30.0,55,
April,DISPENSER,29.0,31.0,69,
April,DISPENSER SABUN KRISBOW,28.0,53.0,50,
April,DITEKTOR UANG PALSU,28.0,,125,
April,DUST BIN KUNING 240 LTR (TEMPAT SAMPAH),24.0,25.0,56,
April,DUSTBIN STAINLESS BULAT,7.0,10.0,14,
April,EMBER,8.0,3.0,121,
April,EMBER 6 GL,21.0,,69,
April,EROS MELAMINE UK BESAR,33.0,,105,
April,EROS STAINLESS UK 30 CC,37.0,,409,
April,EROS STAINLESS UK 60 CC,23.0,,254,
April,EROS STAINLESS UK 90 CC,27.0,,244,
April,EROS STAINLESS UK BESAR,14.0,,133,
April,FILLING KABINET,9.0,45.0,41,
April,FOOD PAN KECIL,32.0,30.0,106,
April,GARPU ADUKAN MIE,150.0,,120,
April,GARPU MAKAN,,25.0,876,
April,GAS BURNER ( LONG SHUN ),1.0,30.0,40,MAINTENANCE
April,GAS KNOP DIA 8 MM W,,,132,MAINTENANCE
April,GAS KNOP F/JP SERIES,,,95,MAINTENANCE
April,GAS VALVE HIGH PREASURE (CONTROL SE),,,50,MAINTENANCE
April,GAS VALVE HP DOUBLE TURBO,,40.0,122,MAINTENANCE
April,GELAS KARYAWAN,1293.0,600.0,1615,
April,GELAS MINUMAN HANGAT,441.0,,802,
April,GELAS TEA,10648.0,21110.0,45742,
April,GELAS UKUR 130 ML,80.0,193.0,319,
April,GOLOK,18.0,99.0,345,
April,HAND DRAYER,10.0,,32,
April,HARD COVER HIMBAUAN,39.0,,192,
April,HARD COVER MENU DIMSUM,105.0,650.0,1189,
April,JIGGER UK 20/30,28.0,40.0,127,
April,JIGGER UK 20/40,26.0,40.0,135,
April,JIGGER UK 30/40,32.0,60.0,120,
April,KESET KOTAK KARET LUBANG,135.0,340.0,206,
April,KLAKAT DIMSUM,9900.0,8700.0,4296,
April,KLAKAT PREMIUM,,,,
April,KNOP BOILER/WATER TAP HEAD,,,71,MAINTENANCE
April,KNOP F/GAS COOK DIAL,,,41,MAINTENANCE
April,KONTAINER PERFORATED,35.0,3000.0,93,
April,KONTAINER SOLID,21.0,440.0,88,
April,LADIES STICKER,24.0,30.0,226,
April,LEFT WATER TAP-RIGHT 02303964 (PD.2458E2,,,71,MAINTENANCE
April,LOCKER SET,61.0,,123,
April,LOGGER,262.0,315.0,555,
April,MAGNET D 22 W/TREADED BOLT (SP),,,36,MAINTENANCE
April,MESIN CUP SEALER,20.0,,89,
April,MOB BUCKET (ALAT PEL SET),11.0,15.0,46,
April,MUKENA,60.0,360.0,379,
April,NAMPAN KARET BULAT,65.0,264.0,380,
April,NAMPAN KARET KOTAK (DIMSUM),344.0,307.0,451,
April,NAMPAN KAYU KOTAK,289.0,636.0,388,
April,PALLET BIRU (DRY),53.0,,,
April,PALLET HIJAU (FROZEN),66.0,60.0,81,
April,PANCI DANDANG DIMSUM UK 36,46.0,50.0,93,
April,PANCI ENDAPAN MINYAK UK 40,22.0,20.0,46,
April,PANCI KUKUS TAHU UK 36,3.0,,31,
April,PANCI MIE,3584.0,5076.0,4143,
April,PANCI ORCHID UK 28,6.0,15.0,29,
April,PANCI ORCHID UK 32 CM,28.0,20.0,126,
April,PANCI ORCHID UK 36,36.0,70.0,139,
April,PAPAN AWAS LANTAI LICIN,14.0,20.0,53,
April,PAPAN TULIS,15.0,40.0,66,
April,PEMATIK KOMPOR,213.0,435.0,318,MAINTENANCE
April,PEMBATAS ANTRIAN,37.0,,35,
April,PEMUKUL DAGING,27.0,,106,
April,PIEZO IGNITER UK 18.MM,,,181,MAINTENANCE
April,PILOT 250 MM (KOMPOR HIGH PREASURE),,40.0,83,MAINTENANCE
April,PILOT BURNER F/BUNSEN,,,161,MAINTENANCE
April,PILOT SW 9000 (SP),,,22,MAINTENANCE
April,PIRING HAWAI BLACK,4410.0,7240.0,21412,
April,PISAU BUAH BESAR,100.0,180.0,190,
April,PISAU BUAH KECIL,128.0,260.0,331,
April,PISAU GILING DAGING,10.0,10.0,197,
April,PRAXIS KEEPER UK 900ML,66.0,384.0,534,
April,PUMP DISPENSER,25.0,145.0,152,
April,RAK GALON OJOL,4.0,,25,
April,RAK KONTAINER KECIL,17.0,,85,
April,RAK MUKENA,16.0,,16,
April,RAK PENITIPAN BARANG CUSTOMER,11.0,85.0,106,
April,RAK SEPATU KARYAWAN,12.0,,105,
April,REGULATOR,13.0,,65,MAINTENANCE
April,SAFETY GAS COOK (GASVALVE GS3878)8325183,,,148,MAINTENANCE
April,SAFETY GAS VALVE WITH INLET BRACKET&SREW,,,,MAINTENANCE
April,SAJADAH,30.0,,324,
April,SARINGAN MIE,1596.0,2000.0,2891,
April,SARINGAN MINYAK,114.0,96.0,163,
April,SARINGAN TEH GACOAN,82.0,140.0,506,
April,SARUNG,28.0,,124,
April,SCALE OFF (PEMBERSIH TANGKI BOILER),125.0,,138,
April,SEAL PACK 3.5 LTR/3500 ML,383.0,24.0,370,
April,SEAL PACK DIMSUM,1049.0,1296.0,1604,
April,SEAL PACK POWDER,199.0,288.0,454,
April,SENDOK ES STAINLESS,95.0,120.0,392,
April,SENDOK MAKAN STAINLESS,,80.0,1560,
April,SENDOK TAKAR 12 GRM,118.0,140.0,58,
April,SENDOK TAKAR PLASTIK,89.0,310.0,608,
April,SENDOK TAKAR STAINLESS,155.0,610.0,1236,
April,SEROK BESAR KAWAT,112.0,100.0,153,
April,SEROK ICE,76.0,120.0,638,
April,SHAKER 750,116.0,500.0,796,
April,SPATULA MIE IBLIS ( SODET COKLAT ),84.0,300.0,596,
April,SPATULA STAINLESS,160.0,200.0,289,
April,STEMPEL,55.0,150.0,420,
April,STICK PENGGANTI LAMPU,9.0,25.0,48,
April,STIK DRUM,127.0,200.0,382,
April,STRAINER BOWL STAINLESS LUBANG BASKOM KECIL,160.0,,480,
April,SUTIL,83.0,115.0,80,
April,TALENAN PLASTIK,31.0,89.0,140,
April,TANGGA 3 METER,8.0,86.0,108,
April,TANGKI BOILER,,,14,MAINTENANCE
April,TEKO BESAR ( BIANG TEH ),45.0,35.0,101,
April,TEMPAT SAMPAH 80 L (TERTUTUP & INJAK),25.0,,66,
April,TEMPAT SAMPAH ABU-ABU 20 LTR,83.0,150.0,118,
April,TEMPAT SAMPAH BESAR UK 80 LTR,10.0,45.0,82,
April,TEMPAT SAMPAH KECIL UK 10 LTR,88.0,180.0,140,
April,TEMPAT SENDOK,2.0,,22,
April,TEMPAT SENDOK FELICIA JUMBO,23.0,75.0,148,
April,TEMPAT TIMER,,25.0,,
April,TERMOGUN,83.0,180.0,342,
April,TERMOMETER,78.0,100.0,284,
April,TERMOS AIR,19.0,24.0,99,
April,THERMOCOUPLE,,,146,MAINTENANCE
April,"THERMOCOUPLE 2C 24"" GS 2185 (GRIDLE)",,,,MAINTENANCE
April,TIMBANGAN 100 KG,16.0,53.0,49,
April,TIMBANGAN DIGITAL FORTUNO 30 KG,38.0,,422,
April,TIMBANGAN DIGITAL KECIL,8.0,26.0,26,
April,TIMER DIGITAL,1606.0,1500.0,1698,
April,TOOL BOX,9.0,40.0,63,
April,TOPLES UK 18 LTR,553.0,720.0,595,
April,TOPLES UK 4 LTR,157.0,144.0,557,
April,TOPLES UK 9 LTR,335.0,144.0,206,
April,TOWEL,2129.0,12924.0,30748,
April,TROLLI CLEAR UP,39.0,4.0,23,
April,TROLLI LOADING,10.0,40.0,33,
April,WAJAN BESI UK 50',35.0,,16,
April,WAJAN BESI UK 70',27.0,,43,
May,AKRILIC PRINTER,39.0,,337,
May,ALAT PEL,52.0,,152,
May,ALAT PEMADAM KEBAKARAN ( APAR ),5.0,3.0,4,
May,AMBRO FLATWARE BASKET,11.0,26.0,87,
May,APAR POWDER 3KG,10.0,6.0,8,
May,APAR TIPE K 6KG,5.0,3.0,4,
May,ASBAK,247.0,,330,
May,BABY CHAIR,26.0,67.0,68,
May,BAK THAWING BULAT 80 L,5.0,,7,
May,BALON WHISK,25.0,,54,
May,BASKOM KOTAK BESAR,216.0,96.0,322,
May,BASKOM STAINLESS 12 CM,27.0,,181,
May,BASKOM STAINLESS 18 CM,81.0,,208,
May,BASKOM STAINLESS UK 14 CM,18.0,,110,
May,BASKOM STAINLESS UK 26 CM,22.0,40.0,22,
May,BILL HOLDER,59.0,235.0,603,
May,BOTOL DIPPING BESAR,41.0,,342,
May,BOTOL KECAP KECIL,150.0,300.0,464,
May,BOTOL SPRAY,204.0,18.0,1332,
May,BURNER GS UK 9 NP,,,66,MAINTENANCE
May,CADDY BAG,50.0,71.0,64,
May,CAPIT SNACK ( BESAR ),82.0,120.0,105,
May,CASH BOX,6.0,12.0,46,
May,CETING TRADISI ( BESAR ),149.0,275.0,290,
May,CETING TRADISI ( KECIL ),52.0,,498,
May,COOL BOX 55LTR,9.0,,28,
May,DIGITAL CALIPER,19.0,90.0,101,
May,DISPENSER,23.0,40.0,86,
May,DISPENSER SABUN KRISBOW,46.0,135.0,184,
May,DITEKTOR UANG PALSU,22.0,,103,
May,DUST BIN KUNING 240 LTR (TEMPAT SAMPAH),24.0,20.0,52,
May,DUSTBIN STAINLESS BULAT,17.0,40.0,42,
May,EMBER,13.0,,108,
May,EMBER 6 GL,6.0,45.0,88,
May,EROS MELAMINE UK BESAR,25.0,25.0,80,
May,EROS STAINLESS UK 30 CC,30.0,,379,
May,EROS STAINLESS UK 60 CC,22.0,,232,
May,EROS STAINLESS UK 90 CC,32.0,,212,
May,EROS STAINLESS UK BESAR,12.0,40.0,121,
May,FILLING KABINET,6.0,1.0,35,
May,FOOD PAN KECIL,18.0,,88,
May,GARPU ADUKAN MIE,117.0,,3,
May,GARPU MAKAN,,,876,
May,GAS BURNER ( LONG SHUN ),4.0,15.0,51,MAINTENANCE
May,GAS KNOP DIA 8 MM W,,70.0,202,MAINTENANCE
May,GAS KNOP F/JP SERIES,,100.0,195,MAINTENANCE
May,GAS VALVE HIGH PREASURE (CONTROL SE),,,50,MAINTENANCE
May,GAS VALVE HP DOUBLE TURBO,,,122,MAINTENANCE
May,GELAS KARYAWAN,1139.0,2400.0,2876,
May,GELAS MINUMAN HANGAT,357.0,1200.0,1645,
May,GELAS TEA,7178.0,3500.0,42064,
May,GELAS UKUR 130 ML,74.0,,245,
May,GOLOK,34.0,,311,
May,HAND DRAYER,10.0,9.0,31,
May,HARD COVER HIMBAUAN,31.0,,161,
May,HARD COVER MENU DIMSUM,182.0,,1010,
May,JIGGER UK 20/30,25.0,,101,
May,JIGGER UK 20/40,27.0,,108,
May,JIGGER UK 30/40,27.0,,93,
May,KESET KOTAK KARET LUBANG,64.0,22.0,164,
May,KLAKAT DIMSUM,9206.0,4000.0,1252,
May,KLAKAT PREMIUM,10495.0,25200.0,14735,
May,KNOP BOILER/WATER TAP HEAD,,55.0,126,MAINTENANCE
May,KNOP F/GAS COOK DIAL,,,41,MAINTENANCE
May,KONTAINER PERFORATED,25.0,50.0,68,
May,KONTAINER SOLID,15.0,640.0,73,
May,LADIES STICKER,14.0,,212,
May,LEFT WATER TAP-RIGHT 02303964 (PD.2458E2,,25.0,96,MAINTENANCE
May,LOCKER SET,58.0,,65,
May,LOGGER,238.0,10.0,315,
May,MAGNET D 22 W/TREADED BOLT (SP),,,36,MAINTENANCE
May,MESIN CUP SEALER,10.0,,80,
May,MOB BUCKET (ALAT PEL SET),6.0,65.0,105,
May,MUKENA,48.0,75.0,406,
May,NAMPAN KARET BULAT,52.0,,328,
May,NAMPAN KARET KOTAK (DIMSUM),552.0,424.0,257,
May,NAMPAN KAYU KOTAK,108.0,240.0,520,
May,PALLET BIRU (DRY),113.0,150.0,37,
May,PALLET HIJAU (FROZEN),50.0,60.0,91,
May,PANCI DANDANG DIMSUM UK 36,41.0,,52,
May,PANCI ENDAPAN MINYAK UK 40,23.0,20.0,43,
May,PANCI KUKUS TAHU UK 36,6.0,,25,
May,PANCI MIE,2131.0,5400.0,7412,
May,PANCI ORCHID UK 28,7.0,,22,
May,PANCI ORCHID UK 32 CM,35.0,,91,
May,PANCI ORCHID UK 36,43.0,,96,
May,PAPAN AWAS LANTAI LICIN,11.0,,82,
May,PAPAN TULIS,13.0,25.0,78,
May,PEMATIK KOMPOR,181.0,,137,MAINTENANCE
May,PEMBATAS ANTRIAN,23.0,8.0,49,
May,PEMUKUL DAGING,13.0,80.0,173,
May,PIEZO IGNITER UK 18.MM,,95.0,276,MAINTENANCE
May,PILOT 250 MM (KOMPOR HIGH PREASURE),4.0,,79,MAINTENANCE
May,PILOT BURNER F/BUNSEN,,40.0,201,MAINTENANCE
May,PILOT SW 9000 (SP),,10.0,32,MAINTENANCE
May,PIRING HAWAI BLACK,2585.0,10270.0,29097,
May,PISAU BUAH BESAR,152.0,204.0,242,
May,PISAU BUAH KECIL,166.0,,165,
May,PISAU GILING DAGING,85.0,240.0,285,
May,PRAXIS KEEPER UK 900ML,61.0,,473,
May,PUMP DISPENSER,13.0,20.0,159,
May,RAK GALON OJOL,,,25,
May,RAK KONTAINER KECIL,11.0,,74,
May,RAK MUKENA,9.0,85.0,92,
May,RAK PENITIPAN BARANG CUSTOMER,8.0,10.0,108,
May,RAK SEPATU KARYAWAN,8.0,,97,
May,REGULATOR,11.0,80.0,134,MAINTENANCE
May,SAFETY GAS COOK (GASVALVE GS3878)8325183,,,148,MAINTENANCE
May,SAFETY GAS VALVE WITH INLET BRACKET&SREW,,55.0,55,MAINTENANCE
May,SAJADAH,65.0,260.0,258,
May,SARINGAN MIE,1372.0,660.0,2179,
May,SARINGAN MINYAK,81.0,170.0,252,
May,SARINGAN TEH GACOAN,66.0,,440,
May,SARUNG,66.0,294.0,285,
May,SCALE OFF (PEMBERSIH TANGKI BOILER),131.0,100.0,108,
May,SEAL PACK 3.5 LTR/3500 ML,395.0,384.0,358,
May,SEAL PACK DIMSUM,521.0,,1088,
May,SEAL PACK POWDER,151.0,72.0,375,
May,SENDOK ES STAINLESS,103.0,96.0,385,
May,SENDOK MAKAN STAINLESS,,,1560,
May,SENDOK TAKAR 12 GRM,249.0,6000.0,5809,
May,SENDOK TAKAR PLASTIK,128.0,,480,
May,SENDOK TAKAR STAINLESS,136.0,,1100,
May,SEROK BESAR KAWAT,104.0,245.0,160,
May,SEROK ICE,62.0,250.0,574,
May,SHAKER 750,102.0,,694,
May,SPATULA MIE IBLIS ( SODET COKLAT ),111.0,,485,
May,SPATULA STAINLESS,188.0,400.0,501,
May,STEMPEL,55.0,,365,
May,STICK PENGGANTI LAMPU,11.0,45.0,82,
May,STIK DRUM,183.0,,199,
May,STRAINER BOWL STAINLESS LUBANG BASKOM KECIL,129.0,1396.0,1747,
May,SUTIL,72.0,155.0,153,
May,TALENAN PLASTIK,23.0,,117,
May,TANGGA 3 METER,8.0,,99,
May,TANGKI BOILER,,,14,MAINTENANCE
May,TEKO BESAR ( BIANG TEH ),40.0,,61,
May,TEMPAT SAMPAH 80 L (TERTUTUP & INJAK),22.0,13.0,57,
May,TEMPAT SAMPAH ABU-ABU 20 LTR,68.0,25.0,75,
May,TEMPAT SAMPAH BESAR UK 80 LTR,11.0,,71,
May,TEMPAT SAMPAH KECIL UK 10 LTR,77.0,25.0,87,
May,TEMPAT SENDOK,,,22,
May,TEMPAT SENDOK FELICIA JUMBO,15.0,,133,
May,TEMPAT TIMER,43.0,65.0,22,
May,TERMOGUN,36.0,60.0,351,
May,TERMOMETER,24.0,212.0,443,
May,TERMOS AIR,21.0,,78,
May,THERMOCOUPLE,,40.0,186,MAINTENANCE
May,"THERMOCOUPLE 2C 24"" GS 2185 (GRIDLE)",,,,MAINTENANCE
May,TIMBANGAN 100 KG,21.0,,28,
May,TIMBANGAN DIGITAL FORTUNO 30 KG,53.0,,365,
May,TIMBANGAN DIGITAL KECIL,18.0,,8,
May,TIMER DIGITAL,926.0,400.0,1172,
May,TOOL BOX,11.0,,52,
May,TOPLES UK 18 LTR,532.0,384.0,447,
May,TOPLES UK 4 LTR,152.0,,405,
May,TOPLES UK 9 LTR,351.0,588.0,443,
May,TOWEL,1557.0,7800.0,36991,
May,TROLLI CLEAR UP,17.0,,6,
May,TROLLI LOADING,27.0,35.0,41,
May,WAJAN BESI UK 50',49.0,60.0,27,
May,WAJAN BESI UK 70',32.0,50.0,60,
June,AKRILIC PRINTER,54.0,,283,
June,ALAT PEL,41.0,6.0,111,
June,ALAT PEMADAM KEBAKARAN ( APAR ),6.0,13.0,11,
June,AMBRO FLATWARE BASKET,10.0,,77,
June,APAR POWDER 3KG,12.0,26.0,22,
June,APAR TIPE K 6KG,6.0,13.0,11,
June,ASBAK,273.0,72.0,129,
June,BABY CHAIR,56.0,71.0,53,
June,BAK THAWING BULAT 80 L,3.0,,4,
June,BALON WHISK,23.0,,31,
June,BASKOM KOTAK BESAR,167.0,48.0,203,
June,BASKOM STAINLESS 12 CM,23.0,,158,
June,BASKOM STAINLESS 18 CM,74.0,10.0,144,
June,BASKOM STAINLESS UK 14 CM,16.0,,94,
June,BASKOM STAINLESS UK 26 CM,16.0,10.0,16,
June,BILL HOLDER,29.0,,574,
June,BOTOL DIPPING BESAR,42.0,,300,
June,BOTOL KECAP KECIL,116.0,,348,
June,BOTOL SPRAY,223.0,,1109,
June,BURNER GS UK 9 NP,,,66,MAINTENANCE
June,CADDY BAG,92.0,111.0,692,
June,CAPIT SNACK ( BESAR ),87.0,,18,
June,CASH BOX,6.0,,40,
June,CETING TRADISI ( BESAR ),102.0,10.0,198,
June,CETING TRADISI ( KECIL ),15.0,,483,
June,COOL BOX 55LTR,5.0,,23,
June,DIGITAL CALIPER,12.0,25.0,114,
June,DISPENSER,21.0,1.0,65,
June,DISPENSER SABUN KRISBOW,73.0,388.0,651,
June,DITEKTOR UANG PALSU,15.0,,88,
June,DUST BIN KUNING 240 LTR (TEMPAT SAMPAH),26.0,10.0,36,
June,DUSTBIN STAINLESS BULAT,20.0,39.0,52,
June,EMBER,17.0,,91,
June,EMBER 6 GL,15.0,,73,
June,EROS MELAMINE UK BESAR,32.0,,50,
June,EROS STAINLESS UK 30 CC,24.0,,355,
June,EROS STAINLESS UK 60 CC,13.0,,219,
June,EROS STAINLESS UK 90 CC,15.0,,197,
June,EROS STAINLESS UK BESAR,8.0,,113,
June,FILLING KABINET,7.0,,28,
June,FOOD PAN KECIL,15.0,,73,
June,GARPU ADUKAN MIE,20.0,23.0,6,
June,GARPU MAKAN,24.0,,852,
June,GAS BURNER ( LONG SHUN ),1.0,,50,MAINTENANCE
June,GAS KNOP DIA 8 MM W,,70.0,272,MAINTENANCE
June,GAS KNOP F/JP SERIES,,250.0,445,MAINTENANCE
June,GAS VALVE HIGH PREASURE (CONTROL SE),,,50,MAINTENANCE
June,GAS VALVE HP DOUBLE TURBO,,,122,MAINTENANCE
June,GELAS KARYAWAN,1024.0,1020.0,4072,
June,GELAS MINUMAN HANGAT,339.0,,1318,
June,GELAS TEA,8010.0,,34053,
June,GELAS UKUR 130 ML,55.0,6.0,190,
June,GOLOK,25.0,,286,
June,HAND DRAYER,6.0,,25,
June,HARD COVER HIMBAUAN,38.0,,123,
June,HARD COVER MENU DIMSUM,593.0,,417,
June,JIGGER UK 20/30,20.0,,81,
June,JIGGER UK 20/40,19.0,,89,
June,JIGGER UK 30/40,19.0,,74,
June,KESET KOTAK KARET LUBANG,85.0,,79,
June,KLAKAT DIMSUM,2925.0,4200.0,527,
June,KLAKAT PREMIUM,3580.0,,11155,
June,KNOP BOILER/WATER TAP HEAD,,160.0,286,MAINTENANCE
June,KNOP F/GAS COOK DIAL,,75.0,116,MAINTENANCE
June,KONTAINER PERFORATED,30.0,10.0,48,
June,KONTAINER SOLID,18.0,485.0,540,
June,LADIES STICKER,18.0,,194,
June,LEFT WATER TAP-RIGHT 02303964 (PD.2458E2,,90.0,186,MAINTENANCE
June,LOCKER SET,57.0,147.0,155,
June,LOGGER,288.0,110.0,147,
June,MAGNET D 22 W/TREADED BOLT (SP),,,36,MAINTENANCE
June,MESIN CUP SEALER,13.0,,67,
June,MOB BUCKET (ALAT PEL SET),9.0,,96,
June,MUKENA,32.0,,374,
June,NAMPAN KARET BULAT,40.0,,288,
June,NAMPAN KARET KOTAK (DIMSUM),315.0,517.0,302,
June,NAMPAN KAYU KOTAK,126.0,,394,
June,PALLET BIRU (DRY),52.0,75.0,60,
June,PALLET HIJAU (FROZEN),68.0,175.0,198,
June,PANCI DANDANG DIMSUM UK 36,45.0,10.0,17,
June,PANCI ENDAPAN MINYAK UK 40,27.0,5.0,21,
June,PANCI KUKUS TAHU UK 36,,,25,
June,PANCI MIE,1582.0,2400.0,8230,
June,PANCI ORCHID UK 28,7.0,,15,
June,PANCI ORCHID UK 32 CM,14.0,,77,
June,PANCI ORCHID UK 36,37.0,20.0,79,
June,PAPAN AWAS LANTAI LICIN,12.0,,69,
June,PAPAN TULIS,17.0,,59,
June,PEMATIK KOMPOR,139.0,60.0,58,MAINTENANCE
June,PEMBATAS ANTRIAN,36.0,,13,
June,PEMUKUL DAGING,23.0,25.0,175,
June,PIEZO IGNITER UK 18.MM,,235.0,511,MAINTENANCE
June,PILOT 250 MM (KOMPOR HIGH PREASURE),,,79,MAINTENANCE
June,PILOT BURNER F/BUNSEN,,145.0,346,MAINTENANCE
June,PILOT SW 9000 (SP),,10.0,42,MAINTENANCE
June,PIRING HAWAI BLACK,3832.0,9563.0,34828,
June,PISAU BUAH BESAR,90.0,,152,
June,PISAU BUAH KECIL,74.0,,91,
June,PISAU GILING DAGING,78.0,,207,
June,PRAXIS KEEPER UK 900ML,49.0,,424,
June,PUMP DISPENSER,17.0,,142,
June,RAK GALON OJOL,5.0,,20,
June,RAK KONTAINER KECIL,13.0,,61,
June,RAK MUKENA,11.0,,81,
June,RAK PENITIPAN BARANG CUSTOMER,8.0,,100,
June,RAK SEPATU KARYAWAN,20.0,,77,
June,REGULATOR,27.0,,107,MAINTENANCE
June,SAFETY GAS COOK (GASVALVE GS3878)8325183,,10.0,158,MAINTENANCE
June,SAFETY GAS VALVE WITH INLET BRACKET&SREW,,185.0,240,MAINTENANCE
June,SAJADAH,36.0,175.0,322,
June,SARINGAN MIE,1601.0,130.0,708,
June,SARINGAN MINYAK,81.0,,171,
June,SARINGAN TEH GACOAN,51.0,,389,
June,SARUNG,51.0,66.0,234,
June,SCALE OFF (PEMBERSIH TANGKI BOILER),107.0,140.0,140,
June,SEAL PACK 3.5 LTR/3500 ML,297.0,96.0,157,
June,SEAL PACK DIMSUM,608.0,,480,
June,SEAL PACK POWDER,137.0,72.0,310,
June,SENDOK ES STAINLESS,88.0,,297,
June,SENDOK MAKAN STAINLESS,36.0,,1524,
June,SENDOK TAKAR 12 GRM,183.0,,5626,
June,SENDOK TAKAR PLASTIK,91.0,,389,
June,SENDOK TAKAR STAINLESS,135.0,,963,
June,SEROK BESAR KAWAT,85.0,,61,
June,SEROK ICE,57.0,,517,
June,SHAKER 750,149.0,,545,
June,SPATULA MIE IBLIS ( SODET COKLAT ),153.0,,332,
June,SPATULA STAINLESS,178.0,200.0,523,
June,STEMPEL,37.0,,328,
June,STICK PENGGANTI LAMPU,13.0,25.0,69,
June,STIK DRUM,157.0,,42,
June,STRAINER BOWL STAINLESS LUBANG BASKOM KECIL,136.0,,1611,
June,SUTIL,74.0,,79,
June,TALENAN PLASTIK,27.0,,90,
June,TANGGA 3 METER,6.0,,93,
June,TANGKI BOILER,,,14,MAINTENANCE
June,TEKO BESAR ( BIANG TEH ),33.0,10.0,38,
June,TEMPAT SAMPAH 80 L (TERTUTUP & INJAK),29.0,,28,
June,TEMPAT SAMPAH ABU-ABU 20 LTR,56.0,,19,
June,TEMPAT SAMPAH BESAR UK 80 LTR,19.0,,52,
June,TEMPAT SAMPAH KECIL UK 10 LTR,45.0,15.0,57,
June,TEMPAT SENDOK,2.0,,20,
June,TEMPAT SENDOK FELICIA JUMBO,18.0,,115,
June,TEMPAT TIMER,53.0,40.0,9,
June,TERMOGUN,31.0,,320,
June,TERMOMETER,46.0,,397,
June,TERMOS AIR,28.0,,50,
June,THERMOCOUPLE,,235.0,421,MAINTENANCE
June,"THERMOCOUPLE 2C 24"" GS 2185 (GRIDLE)",,10.0,10,MAINTENANCE
June,TIMBANGAN 100 KG,13.0,45.0,60,
June,TIMBANGAN DIGITAL FORTUNO 30 KG,30.0,,331,
June,TIMBANGAN DIGITAL KECIL,6.0,1.0,2,
June,TIMER DIGITAL,823.0,210.0,544,
June,TOOL BOX,11.0,,41,
June,TOPLES UK 18 LTR,406.0,120.0,161,
June,TOPLES UK 4 LTR,165.0,72.0,312,
June,TOPLES UK 9 LTR,285.0,,158,
June,TOWEL,1968.0,3396.0,38419,
June,TROLLI CLEAR UP,21.0,256.0,241,
June,TROLLI LOADING,11.0,20.0,50,
June,WAJAN BESI UK 50',53.0,100.0,74,
June,WAJAN BESI UK 70',37.0,80.0,103,
July,AKRILIC PRINTER,29.0,,253,
July,ALAT PEL,20.0,19.0,91,
July,ALAT PEMADAM KEBAKARAN ( APAR ),4.0,,7,
July,AMBRO FLATWARE BASKET,4.0,,73,
July,APAR POWDER 3KG,8.0,,14,
July,APAR TIPE K 6KG,4.0,,7,
July,ASBAK,128.0,292.0,293,
July,BABY CHAIR,19.0,90.0,124,
July,BAK THAWING BULAT 80 L,4.0,,,
July,BALON WHISK,31.0,33.0,33,
July,BASKOM KOTAK BESAR,146.0,157.0,154,
July,BASKOM STAINLESS 12 CM,23.0,,135,
July,BASKOM STAINLESS 18 CM,57.0,38.0,124,
July,BASKOM STAINLESS UK 14 CM,25.0,,69,
July,BASKOM STAINLESS UK 26 CM,19.0,27.0,24,
July,BILL HOLDER,64.0,,512,
July,BOTOL DIPPING BESAR,13.0,,287,
